postingId,title,price,priceStr,mileage,location,neighborhood,hostname,postedDate,categoryAbbr,lat,lon,url,uuid
7934492829,BIG SALE.!!!2020 TESLA 2021 Tesla Model Y  Long Range..!!!,5000,"$5,000",61000,North Haven,,hartford,2026-05-15T11:59:46,ctd,41.3822,-72.8585,https://hartford.craigslist.org/ctd/d/north-haven-big-sale2020-tesla-2021/7934492829.html,jMQzLVPi2nAfLkBFQntWTi
7934279623,BIG SALE.!!!2020 TESLA 2021 Tesla Model Y  Long Range..!!!,5000,"$5,000",61000,North Haven,,hartford,2026-05-14T12:33:41,ctd,41.3822,-72.8585,https://hartford.craigslist.org/ctd/d/north-haven-big-sale2020-tesla-2021/7934279623.html,pdUA4rJLnMHrB6QYire9QG
7934279282,BIG SALE..!!!!2021 TESLA Y  for SALE!!!,5000,"$5,000",61000,NORTH HAVEN,,newhaven,2026-05-14T12:32:40,ctd,41.3822,-72.8585,https://newhaven.craigslist.org/ctd/d/north-haven-big-sale2021-tesla-for-sale/7934279282.html,hhHuoDoWAbVazMq7NDcKX5
7934492319,BIG SALE..!!!!2021 TESLA Y  for SALE!!!,5000,"$5,000",40000,NORTH HAVEN,,newhaven,2026-05-15T11:57:48,ctd,41.3822,-72.8585,https://newhaven.craigslist.org/ctd/d/north-haven-big-sale2021-tesla-for-sale/7934492319.html,ioYAmgb1hdgWAif5Am4FoB
7935041066,Tesla Model 3,18900,"$18,900",42157,Hadley,,westernmass,2026-05-17T23:42:46,cto,42.3606,-72.5715,https://westernmass.craigslist.org/cto/d/hadley-tesla-model/7935041066.html,xjtCZfD6unzKguURGnHzcU
7931441625,"2018 Tesla Model X 75D – 72k miles, FREE Lifetime Premium Connectivity",23490,"$23,490",72300,Cranston,,providence,2026-05-01T12:34:06,cto,41.763,-71.468,https://providence.craigslist.org/cto/d/cranston-2018-tesla-model-75d-72k-miles/7931441625.html,dJLTMnrpcvHFsHGLBgLJ3F
7930099924,TESLA MODEL Y 2021,30000,"$30,000",38000,"Hempstead,ny 11550",,hudsonvalley,2026-04-25T12:29:22,cto,41.9697,-74.0668,https://hudsonvalley.craigslist.org/cto/d/kingston-tesla-model-2021/7930099924.html,9X1jd7WYf3VeKGPjFt2TzT
7931280133,2020 Tesla Model Y Long Range AWD 4dr Crossover Call/Text 516- 614-5359,19995,"$19,995",72018,+ EVERYONE FINANCED!!  PODEMOS FINANCIAR A CUALQUIERA!,,longisland,2026-04-30T18:44:57,ctd,40.7252,-73.4917,https://longisland.craigslist.org/ctd/d/bethpage-2020-tesla-model-long-range/7931280133.html,3B6uJOZE8RGVjdFbPBMlcA
7931577243,2020 Tesla Model Y Long Range AWD 4dr Crossover Call/Text 516- 614-5359,19995,"$19,995",72018,+ EVERYONE FINANCED!!  PODEMOS FINANCIAR A CUALQUIERA!,,newyork,2026-05-01T22:34:28,ctd,40.7252,-73.4917,https://newyork.craigslist.org/brk/ctd/d/bethpage-2020-tesla-model-long-range/7931577243.html,LGdzX89F8RGbvcQKLPDENw
7933905214,2020 Tesla Model 3 Standard Range Plus,299,$299,60178,Import Masters,,newyork,2026-05-12T17:11:48,ctd,40.7775,-73.727,https://newyork.craigslist.org/brk/ctd/d/great-neck-2020-tesla-model-standard/7933905214.html,TIhwHkdO8RGUidcB4hMgBg
7933786396,2023 Tesla Model 3 Base,349,$349,61872,Import Masters,,newyork,2026-05-12T09:57:08,ctd,40.7775,-73.727,https://newyork.craigslist.org/brk/ctd/d/great-neck-2023-tesla-model-base/7933786396.html,AjRkZQpO8RGjp_n9XqhcyA
7935786608,2022 Tesla Model 3 Base,349,$349,57955,Import Masters,,newyork,2026-05-21T10:45:36,ctd,40.7775,-73.727,https://newyork.craigslist.org/que/ctd/d/great-neck-2022-tesla-model-base/7935786608.html,mJicqCNV8RGPNqvPRxxQ4A
7931258519,2021 Tesla Model 3 Standard Range Plus,18495,"$18,495",50256,+ Power Motors,,newyork,2026-04-30T17:10:02,ctd,40.7265,-73.7141,https://newyork.craigslist.org/brk/ctd/d/floral-park-2021-tesla-model-standard/7931258519.html,GFs_4thE8RGa65lXTDROLQ
